n_labeled,accuracy,precision,recall,f1
40,0.3974,0.4579712929412036,0.3974,0.2902906521585502
150,0.6905,0.6944536915273952,0.6904999999999999,0.6880378766563133
300,0.6978,0.7050366353737518,0.6978,0.6960244165424159
500,0.702,0.7057102231192467,0.702,0.6992827791687195
