experiment,num_labeled,accuracy,precision,recall,f1,val_accuracy
FlatMatch_e,40,0.509,0.5527107994355903,0.502536773364051,0.49414500556679625,0.5
FlatMatch,40,0.493,0.5198248214959538,0.4859784943780859,0.4633810263520169,0.498
FlatMatch_e,100,0.578,0.6154668032114035,0.5720018969692112,0.5525672352869806,0.598
FlatMatch,100,0.628,0.6333667549806352,0.605777041909197,0.5917348903742466,0.621
FlatMatch_e,250,0.641,0.6495588415393008,0.6194656411818058,0.6080627037789875,0.628
FlatMatch,250,0.592,0.5793033985936077,0.5662042273418799,0.5501274385485042,0.602
FlatMatch_e,500,0.63,0.6369251114013966,0.6119997684003319,0.6041698020167284,0.616
FlatMatch,500,0.599,0.5995278562124771,0.5763743375692586,0.5595863450546926,0.604
