accuracy,precision,recall,f1_score,num_labeled_samples
0.1755,0.1928195521706753,0.1755,0.16185932322863772,40
0.1643,0.19596667750127955,0.1643,0.10641652375457467,150
0.1616,0.16373311416361483,0.16160000000000002,0.15365481193742497,300
0.1949,0.20395182132764664,0.1949,0.18938612631551974,500
